doc_id,domain,title,date_published,collection,tags,url,summary
"haiyan-google_51-61(1)","cnn.com","Philippines: World scrambles to deliver basics as one mother despairs","2013-11-17T15:10:41Z","haiyan","google","http://www.cnn.com/2013/11/17/world/asia/philippines-typhoon-haiyan/","(CNN) -- A distraught mother who lost her young sons in the tidal surge of Super <br> <b>Typhoon Haiyan</b> feels her life is over. &quot;I guess I&#39;m just thinking to jump from that&nbsp;..."
"haiyan-google_51-61(10)","sportsillustrated.cnn.com","Manny Pacquiao says he&apos;s borrowing to give aid after Typhoon Haiyan","","haiyan","google","http://sportsillustrated.cnn.com/mma/news/20131126/manny-pacquiao-borrowing-typhoon-haiyan-aid.ap/","Fierce winds and tsunami-like storm surges from <b>Typhoon Haiyan</b>, one of the <br> strongest typhoons on record, demolished entire communities and killed over&nbsp;..."
"haiyan-google_51-61(2)","ireport.cnn.com","Super Typhoon Haiyan Experience - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1059896","CNN PRODUCER NOTE iReporter maelene was on vacation in Tacloban City, <br> central Philippines, when <b>Typhoon Haiyan</b> ravaged the area with high winds and<br> &nbsp;..."
"haiyan-google_51-61(3)","cnn.com","Typhoon Haiyan: &apos;The one building that survived the storm&apos; - CNN.com","2013-11-11T15:18:45Z","haiyan","google","http://www.cnn.com/2013/11/11/world/asia/tacloban-typhoon-building/","One of the worst-hit cities in the Philippines, Tacloban, has been completely <br> devastated by <b>Typhoon Haiyan</b>. The capital city of Leyte province, nearly 400 <br> miles&nbsp;..."
"haiyan-google_51-61(4)","cnn.com","Super Typhoon Haiyan: &apos;It is like a tsunami has hit&apos; - CNN.com","2013-11-09T04:41:42Z","haiyan","google","http://www.cnn.com/2013/11/08/world/asia/typhoon-haiyan-hancocks/","CNN&#39;s Paula Hancocks reports that the devastation from Super <b>Typhoon Haiyan</b> <br> is like that of a massive tsunami."
"haiyan-google_51-61(5)","cnn.com","Typhoon Haiyan&apos;s destruction: CNN reporters on the ground - CNN ...","2013-11-13T07:07:05Z","haiyan","google","http://www.cnn.com/2013/11/13/world/asia/philippines-haiyan-reporters-video/","As <b>Typhoon Haiyan&#39;s</b> trail of destruction in the Philippines unfolds, CNN reporters <br> have been on the ground from the beginning building up a picture of the&nbsp;..."
"haiyan-google_51-61(6)","cnn.com","Storm chaser in Philippines: &quot;Most catastrophic event I&apos;ve witnessed ...","2013-11-09T21:31:59Z","haiyan","google","http://www.cnn.com/2013/11/09/world/asia/storm-chaser-tacloba-super-typhoon-haiyan/","It was the cruelest of ironies unleashed by Super <b>Typhoon Haiyan</b>. There was <br> water, water, everywhere -- yet nary enough to put out a fire."
"haiyan-google_51-61(7)","ac360.blogs.cnn.com","Death and devastation after Typhoon Haiyan – Anderson Cooper ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/11/death-and-devastation-after-typhoon-haiyan/","For so many people in the Philippines right now, surviving the <b>Typhoon Haiyan</b> <br> was just the beginning of a nightmare. Busy cities like Tacloban are now&nbsp;..."
"haiyan-google_51-61(8)","cnn.com","More body bags sent to typhoon-ravaged areas in Philippines - CNN ...","2013-11-16T19:50:16Z","haiyan","google","http://www.cnn.com/2013/11/16/world/asia/typhoon-haiyan/","Tacloban, Philippines (CNN) -- Desperation grew among Filipinos who&#39;ve been <br> without electricity or shelter for more than a week since Super <b>Typhoon Haiyan</b>&nbsp;..."
"haiyan-google_51-61(9)","cnn.com","Death toll likely to exceed 1,000 after typhoon slams Philippines ...","2013-11-09T06:20:39Z","haiyan","google","http://www.cnn.com/2013/11/09/world/asia/philippines-typhoon-haiyan/","A day after Super <b>Typhoon Haiyan</b> roared into the Philippines, officials found <br> more than 100 bodies strewn on the streets of one coastal city."
"haiyan-google_61-71(1)","ac360.blogs.cnn.com","Typhoon Haiyan: Six days later – Anderson Cooper 360 - CNN.com ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/13/typhoon-haiyan-six-days-later/","Six days after <b>Typhoon Haiyan</b> hit, they discuss the relief effort, the Philippine <br> government&#39;s response to the disaster, and the humanitarian crisis that is still ..."
"haiyan-google_61-71(10)","cnn.com","Are Philippine politicians using typhoon aid to their advantage ...","2013-11-22T21:57:36Z","haiyan","google","http://www.cnn.com/2013/11/22/world/asia/philippines-politicians-typhoon-aid-advantage-irpt/","As money pours in to help the victims of Super <b>Typhoon Haiyan</b>, some Filipinos <br> claim that politicians are trying to use the tragedy to win votes."
"haiyan-google_61-71(2)","ac360.blogs.cnn.com","Typhoon Haiyan: Families bracing for the worst – Anderson Cooper ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/08/typhoon-haiyan-families-bracing-for-the-worst/","<b>Typhoon Haiyan</b>: Families bracing for the worst. Some of the areas hit hardest by <br> this storm are completely cut off from outside communications. Families around&nbsp;..."
"haiyan-google_61-71(3)","cnn.com","Devastation, desperation: Haiyan in numbers - CNN.com","2013-11-15T13:02:05Z","haiyan","google","http://www.cnn.com/2013/11/15/world/infographic-typhoon-hayian-numbers/","Devastation, desperation: Haiyan in numbers ... line the street in Tacloban -- one <br> of the towns hardest hit by Super <b>Typhoon Haiyan</b> -- as locals walk through the&nbsp;..."
"haiyan-google_61-71(4)","cnn.com","Interactive video: Typhoon Haiyan&apos;s aftermath - CNN.com","","haiyan","google","http://www.cnn.com/interactive/2013/11/world/philippines-360-video/","Super <b>Typhoon Haiyan</b> caused massive loss of life and destruction of property <br> when it smashed into the Philippines. Several thousand people died and millions<br> &nbsp;..."
"haiyan-google_61-71(5)","cnn.com","Leaders, celebrities send messages to the Philippines after typhoon ...","2013-11-10T08:03:38Z","haiyan","google","http://www.cnn.com/2013/11/10/world/asia/haiyan-world-reaction/","Super <b>Typhoon Haiyan</b> roared into the central islands of the Philippines last <br> week, wiping out entire neighborhoods, ripping children off their parents&#39; arms <br> and&nbsp;..."
"haiyan-google_61-71(6)","situationroom.blogs.cnn.com","Typhoon Haiyan – The Situation Room with Wolf Blitzer - CNN.com ...","","haiyan","google","http://situationroom.blogs.cnn.com/category/typhoon-haiyan/","Climate change the cause of typhoon? Was climate change a key cause of Super <br> <b>Typhoon Haiyan</b>? CNN&#39;s Brian Todd reports from the National Weather&nbsp;..."
"haiyan-google_61-71(7)","ireport.cnn.com","Typhoon Haiyan: Your stories: News &amp; Videos about Typhoon ...","","haiyan","google","http://ireport.cnn.com/topics/1057748","With sustained winds of 305 kph (190 mph) and gusts as strong as 370 kph (230 <br> mph), <b>Typhoon Haiyan</b>, known as Yolanda in the Philippines, was one of the&nbsp;..."
"haiyan-google_61-71(8)","ac360.blogs.cnn.com","Inside Typhoon Haiyan – Anderson Cooper 360 - CNN.com Blogs","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/08/inside-typhoon-haiyan/","As the sun rises in the Philippines, we are getting our first reports of damage from <br> one of the strongest storms in history. The scale of <b>Typhoon Haiyan&#39;s</b>&nbsp;..."
"haiyan-google_61-71(9)","cnn.com","Typhoon Haiyan: Before and after - CNN.com","2013-11-12T20:33:33Z","haiyan","google","http://www.cnn.com/2013/11/12/asia/gallery/typhoon-haiyan-before-after/","<b>Typhoon Haiyan</b>, one of the strongest storms in recorded history, claimed more <br> than 1,700 lives and flattened countless buildings in the Philippines. Pictured&nbsp;..."
"haiyan-google_71-81(1)","cnn.com","&apos;Everything&apos; gone in Guiuan, paradise forever transformed by typhoon","2013-11-12T17:22:07Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/philippines-typhoon-guiuan/","Super <b>Typhoon Haiyan</b> came ashore in Guiuan, devastating the seaside eastern <br> Philippines community. Its mayor says there is &quot;100% damage.&quot;"
"haiyan-google_71-81(10)","cnn.com","Photos: Haiyan&apos;s wrath from above - CNN.com","2013-11-11T17:58:01Z","haiyan","google","http://www.cnn.com/2013/11/11/asia/gallery/haiyan-aerials/","Destroyed buildings are seen on the Philippines&#39; Victory Island on Monday, <br> November 11. <b>Typhoon Haiyan</b>, one of the strongest storms in recorded history,&nbsp;..."
"haiyan-google_71-81(2)","ireport.cnn.com","Typhoon Haiyan Fundraiser - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1063622","Operation Tulong 2 mobilized many to help the survivors of <b>Typhoon Haiyan</b> in <br> the Philippines Saturday. Carol LIm has more on the community fundraiser in&nbsp;..."
"haiyan-google_71-81(3)","cnnpressroom.blogs.cnn.com","CNN&apos;s Andrew Stevens shares terrifying account of covering Super ...","","haiyan","google","http://cnnpressroom.blogs.cnn.com/2013/11/11/cnns-andrew-stevens-shares-terrifying-account-of-covering-super-typhoon-haiyan/","CNN&#39;s Andrew Stevens (@andrewcnn) shares his first-hand account of covering <br> the incredibly powerful Super <b>Typhoon Haiyan</b> in a revealing reporter&#39;s&nbsp;..."
"haiyan-google_71-81(4)","cnn.com","Typhoon Haiyan: Desperation, resilience in ravaged Tacloban ...","2013-11-14T17:15:06Z","haiyan","google","http://www.cnn.com/2013/11/14/world/asia/philippines-tacloban/","People are doing what they can -- sifting through debris, heading to the airport -- <br> to survive in Tacloban, after it was ravaged by <b>Typhoon Haiyan</b>."
"haiyan-google_71-81(5)","ac360.blogs.cnn.com","Five days after Typhoon Haiyan – Anderson Cooper 360 - CNN.com ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/12/five-days-after-typhoon-haiyan/","Anderson arrived in the Philippines yesterday and found an increasingly <br> desperate situation. Survivors are racing to find loved ones. A massive relief effort <br> is&nbsp;..."
"haiyan-google_71-81(6)","cnn.com","Typhoon survivors fight to protect kids as security deteriorates - CNN ...","2013-11-12T17:36:26Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/typhoon-haiyan-children/","Many pregnant women had been evacuated to give birth after <b>Typhoon Haiyan</b> <br> left Tacloban&#39;s medical centers in shambles, but the mother didn&#39;t have time."
"haiyan-google_71-81(7)","ac360.blogs.cnn.com","American missionary survives Typhoon Haiyan: &quot;They need help ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/12/american-missionary-survives-typhoon-haiyan-they-need-help-now-not-in-a-few-days/","John Wynn is an American missionary who was in Tacloban when the <b>typhoon</b> <br> hit. He and his family survived the storm and reached safety near Manila."
"haiyan-google_71-81(8)","ireport.cnn.com","Typhoon Haiyan: Christmas amidst the rubble - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1069135","CNN PRODUCER NOTE Despite the devastation wreaked by <b>Typhoon Haiyan</b> in <br> the central Philippines this year, it seems Filipinos remain determined to hold&nbsp;..."
"haiyan-google_71-81(9)","thelead.blogs.cnn.com","Scenes of devastation and some relief after Typhoon Haiyan – The ...","","haiyan","google","http://thelead.blogs.cnn.com/2013/11/12/scenes-of-devastation-and-some-relief-after-typhoon-haiyan/","Scenes of devastation and some relief after <b>Typhoon Haiyan</b>. Tacloban, <br> Philippines (CNN) - Surrounded by rubble, children swarm around a public well <br> in this&nbsp;..."
"haiyan-google_81-91(1)","newday.blogs.cnn.com","Typhoon Haiyan: U.S. Aid Fleet Enters Disaster Zone – New Day ...","","haiyan","google","http://newday.blogs.cnn.com/2013/11/14/typhoon-haiyan-u-s-aid-fleet-enters-disaster-zone/","Much-needed relief arrived in the Philippines on Thursday, when two U.S. Navy <br> ships sailed in to help hundreds of thousands who have gone without food and&nbsp;..."
"haiyan-google_81-91(10)","cnn.com","Typhoon Haiyan: Faces of the storm - CNN.com","","haiyan","google","http://www.cnn.com/interactive/2013/11/world/philippines-typhoon-stories/","<b>Typhoon Haiyan</b> made landfall in the Philippines on November 8 as one of the <br> most powerful storms ever recorded. Rescue workers are trying to provide aid as<br> &nbsp;..."
"haiyan-google_81-91(2)","cnn.com","General asks for U.S. warships in typhoon relief - CNN.com","2013-11-12T13:47:55Z","haiyan","google","http://www.cnn.com/2013/11/12/us/philippines-typhoon-aid/","The Marine Corps general in charge of U.S. military aid for victims of <b>Typhoon</b> <br> <b>Haiyan</b> is asking the Pentagon to send more amphibious warships to the&nbsp;..."
"haiyan-google_81-91(3)","news.blogs.cnn.com","Super Typhoon Haiyan hits central Philippines – This Just In - CNN ...","","haiyan","google","http://news.blogs.cnn.com/2013/11/08/super-typhoon-haiyan-hits-central-philippines/","With 25 million people in its path, Super <b>Typhoon Haiyan</b> -- one of the strongest <br> storms recorded on the planet -- smashed into the Philippines on Friday&nbsp;..."
"haiyan-google_81-91(4)","cnn.com","A baby born in wreckage clings to life - CNN.com","2013-11-16T07:24:47Z","haiyan","google","http://www.cnn.com/2013/11/16/world/asia/phillippines-baby-clinic/","... Philippines city that has suffered an enormous human toll from Super <b>Typhoon</b> <br> <b>Haiyan</b>. Outside the half-opened window by her bed lies debris from the storm."
"haiyan-google_81-91(5)","cnn.com","Philippines gets more than its share of disasters - CNN.com","2013-11-08T08:24:12Z","haiyan","google","http://www.cnn.com/2013/11/08/world/asia/philippines-typhoon-destruction/","(CNN) -- Powered by ferocious winds, the fast-moving Super <b>Typhoon Haiyan</b> <br> swept Friday through the Philippines, a country of more than 92 million people all<br> &nbsp;..."
"haiyan-google_81-91(6)","thelead.blogs.cnn.com","Typhoon Haiyan: Scenes of devastation, calls for help – The Lead ...","","haiyan","google","http://thelead.blogs.cnn.com/2013/11/13/typhoon-haiyan-scenes-of-devastation-calls-for-help/","... once stood. When <b>Typhoon Haiyan</b> tore through Tacloban, she says, the house <br> she lived in with her husband and six children was one of the first to fall down."
"haiyan-google_81-91(7)","ireport.cnn.com","Typhoon Haiyan&apos;s aftermath in Samar - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1061702","Photos of <b>Typhoon Haiyan&#39;s</b> aftermath in Guiuan, Samar.It was in this place <br> where the typhoon made first landfall. Majority of the houses and buildings were<br> &nbsp;..."
"haiyan-google_81-91(8)","ireport.cnn.com","Typhoon Haiyan brings flood waters - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1058500","Mark Louise Alforque posted this photo of flooding from <b>Typhoon Haiyan</b> in Cebu <br> City, Philippines on November 8."
"haiyan-google_81-91(9)","cnn.com","Without phones, typhoon victims turn to TV to tell the worst of news ...","2013-11-12T06:34:40Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/typhoon-haiyan-philippines-victims-overseas-relatives/","On Leyte Island, one of the hardest hit areas by <b>Typhoon Haiyan</b>, a man is asked <br> by a television crew if he has a message for relatives living abroad."
"haiyan-google_91-101(1)","ireport.cnn.com","Clean water for Typhoon Haiyan victims - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1062320","I am working here with Jon Rose, founder of Waves for Water, a NGO focused on <br> providing clean water (www.wavesforwater.org), for the past week out of Cebu&nbsp;..."
"haiyan-google_91-101(10)","ireport.cnn.com","Powerful Typhoon Haiyan to Hit Philippines on Friday November 8 ...","","haiyan","google","http://ireport.cnn.com/docs/DOC-1056697","Powerful <b>Typhoon</b> is on its way for Philippines on Friday November 8, 2013 and it <br> will bring real strong winds and it will be over 100 KM/H and it will also bring&nbsp;..."
"haiyan-google_91-101(2)","thelead.blogs.cnn.com","Super Typhoon Haiyan, one of strongest storms ever, hits central ...","","haiyan","google","http://thelead.blogs.cnn.com/2013/11/07/super-typhoon-haiyan-one-of-strongest-storms-ever-hits-central-philippines/","(CNN) -- Super <b>Typhoon Haiyan</b>, one of the strongest tropical cyclones ever <br> observed, made landfall Friday morning in the Philippines, the country&#39;s weather<br> &nbsp;..."
"haiyan-google_91-101(3)","ireport.cnn.com","FOUND: Victims of Super TYPHOON HAIYAN help them to evacuate ...","","haiyan","google","http://ireport.cnn.com/docs/DOC-1059803","Aisa16 is looking for her mother and other members of her family who live in <br> Tacloban, one of the hardest hit areas by <b>Typhoon Haiyan</b>. She last spoke with <br> her&nbsp;..."
"haiyan-google_91-101(4)","features.blogs.fortune.cnn.com","Typhoon Haiyan - FORTUNE Features","","haiyan","google","http://features.blogs.fortune.cnn.com/tag/typhoon-haiyan/","Typhoon victims wait on a street for relief goods at Ling Yun village on the <br> outskirts of ... So let us try a new approach with <b>Typhoon Haiyan</b>, and implement <br> these&nbsp;..."
"haiyan-google_91-101(5)","cnn.com","Impact Your World - CNN.com","","haiyan","google","http://www.cnn.com/SPECIALS/impact.your.world","Residents are still missing after a massive landslide hit a rural community just <br> north of Seattle March 22. The slide was so powerful it crushed almost everything<br> &nbsp;..."
"haiyan-google_91-101(6)","edition.cnn.com","great time-lapse videos","","haiyan","google","http://edition.cnn.com/video/data/2.0/video/world/2013/11/11/pkg-stevens-typhoon-haiyan-reporters-notebook.cnn.html","CNN Video - Breaking News Videos from CNN.com."
"haiyan-google_91-101(7)","ireport.cnn.com","Weather conditions from Typhoon Haiyan - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1058823","very strong winds during the super <b>typhoon</b> @cnninternational @cnnireport #ph <br> #cebu Courtesy @ilovemarkee on Instagram:&nbsp;..."
"haiyan-google_91-101(8)","newday.blogs.cnn.com","Super Typhoon Haiyan, Perhaps Strongest Ever, Plows Across ...","","haiyan","google","http://newday.blogs.cnn.com/2013/11/08/super-typhoon-haiyan-perhaps-strongest-ever-plows-across-philippines/","Super <b>Typhoon Haiyan</b> -- perhaps the strongest storm ever -- plowed Friday <br> across the central Philippines, leaving widespread devastation in its wake. It <br> roared&nbsp;..."
"haiyan-google_91-101(9)","thelead.blogs.cnn.com","A week after Typhoon Haiyan hit, grim realities sink in – The Lead ...","","haiyan","google","http://thelead.blogs.cnn.com/2013/11/15/a-week-after-typhoon-haiyan-hit-grim-realities-sink-in/","A week after <b>Typhoon Haiyan</b> tore through the Philippines, the adrenaline-fueled <br> response to the storm and its aftermath have faded from the streets of Tacloban&nbsp;..."
